unit,partner,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PC,COMM,SE,35 ,45 ,45 ,44 ,47 ,42 ,53 ,49 ,52 ,49 ,55 ,46 ,54 ,53 ,51 ,50 ,54 ,60 ,63 ,65 ,64 ,60 ,56 
PC,COMM,SI,: ,: ,: ,: ,64 ,56 ,73 ,61 ,61 ,46 ,51 ,40 ,47 ,39 ,40 ,30 ,33 ,36 ,36 ,35 ,44 ,52 ,46 
PC,COMM,SK,: ,: ,: ,: ,61 ,57 ,66 ,62 ,63 ,64 ,66 ,52 ,53 ,51 ,47 ,41 ,43 ,44 ,43 ,48 ,49 ,50 ,42 
PC,COMM,TR,: ,: ,: ,: ,39 ,33 ,32 ,17 ,19 ,18 ,11 ,16 ,20 ,28 ,14 ,34 ,27 ,: ,23 ,: ,: ,: ,: 
PC,COMM,UK,24 ,35 ,31 ,26 ,39 ,26 ,25 ,22 ,27 ,21 ,21 ,14 ,24 ,18 ,25 ,24 ,29 ,29 ,30 ,27 ,: ,: ,: 
PC,ECB,AT,45 ,54 ,58 ,52 ,50 ,53 ,55 ,57 ,57 ,58 ,50 ,46 ,49 ,47 ,50 ,41 ,45 ,45 ,52 ,56 ,50 ,45 ,48 
PC,ECB,BE,46 ,55 ,55 ,46 ,68 ,58 ,65 ,62 ,64 ,55 ,57 ,51 ,44 ,48 ,41 ,46 ,49 ,52 ,53 ,57 ,54 ,69 ,54 
PC,ECB,BG,: ,: ,: ,: ,50 ,41 ,48 ,39 ,49 ,49 ,52 ,46 ,50 ,47 ,44 ,39 ,46 ,47 ,44 ,47 ,43 ,44 ,46 
PC,ECB,CY,: ,: ,: ,: ,54 ,50 ,46 ,51 ,49 ,53 ,50 ,44 ,34 ,16 ,24 ,19 ,23 ,36 ,33 ,43 ,33 ,34 ,36 
PC,ECB,CZ,: ,: ,: ,: ,47 ,49 ,55 ,54 ,57 ,52 ,54 ,47 ,46 ,49 ,39 ,31 ,35 ,38 ,33 ,41 ,39 ,66 ,62 
PC,ECB,DE,45 ,56 ,59 ,50 ,55 ,56 ,60 ,61 ,56 ,52 ,50 ,37 ,39 ,37 ,35 ,35 ,33 ,39 ,49 ,48 ,43 ,45 ,42 
PC,ECB,DK,48 ,60 ,57 ,50 ,61 ,63 ,64 ,68 ,71 ,67 ,66 ,64 ,68 ,60 ,58 ,60 ,56 ,58 ,55 ,54 ,64 ,77 ,70 
PC,ECB,EE,: ,: ,: ,: ,54 ,43 ,53 ,51 ,58 ,56 ,61 ,45 ,51 ,51 ,46 ,41 ,43 ,46 ,47 ,56 ,66 ,71 ,70 
PC,ECB,EL,42 ,48 ,47 ,52 ,52 ,55 ,62 ,53 ,51 ,42 ,29 ,22 ,17 ,16 ,21 ,17 ,18 ,21 ,22 ,26 ,23 ,31 ,25 
PC,ECB,ES,48 ,50 ,52 ,43 ,51 ,38 ,42 ,42 ,50 ,44 ,37 ,29 ,17 ,19 ,20 ,22 ,24 ,35 ,29 ,35 ,34 ,37 ,34 
PC,ECB,EU27_2020,: ,: ,: ,: ,50 e,46 e,49 e,50 e,51 e,47 e,46 e,38 e,39 e,36 e,36 e,35 e,35 e,40 e,42 ,44 ,42 ,47 ,44 
