lev_perc,unit,geo\time,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
UNK,PC,NL,16 ,12 ,11 ,14 ,13 ,12 ,9 
UNK,PC,PL,11 ,13 ,13 ,11 ,11 ,12 ,12 
UNK,PC,PT,23 ,14 ,7 ,12 ,11 ,10 ,10 
UNK,PC,RO,11 ,15 ,14 ,16 ,18 ,11 ,13 
UNK,PC,SE,9 ,10 ,11 ,8 ,7 ,12 ,10 
UNK,PC,SI,6 ,14 ,13 ,14 ,12 ,11 ,8 
UNK,PC,SK,18 ,18 ,13 ,12 ,10 ,7 ,8 
UNK,PC,UK,12 ,13 ,12 ,11 ,8 ,: ,: 
VBAD,PC,AT,3 ,2 ,2 ,2 ,2 ,2 ,3 
VBAD,PC,BE,7 ,6 ,5 ,8 ,7 ,6 ,8 
VBAD,PC,BG,35 ,26 ,26 ,23 ,17 ,23 ,26 
VBAD,PC,CY,13 ,11 ,12 ,9 ,9 ,16 ,13 
VBAD,PC,CZ,9 ,9 ,7 ,9 ,7 ,9 ,8 
VBAD,PC,DE,4 ,4 ,3 ,3 ,4 ,4 ,4 
VBAD,PC,DK,1 ,2 ,2 ,1 ,2 ,3 ,2 
VBAD,PC,EE,2 ,2 ,1 ,3 ,2 ,2 ,3 
VBAD,PC,EL,16 ,11 ,9 ,10 ,11 ,14 ,16 
VBAD,PC,ES,18 ,19 ,17 ,18 ,15 ,18 ,18 
VBAD,PC,EU27_2020,12 e,11 e,11 e,11 e,11 e,12 b,12 
VBAD,PC,EU28,12 ,11 ,10 ,11 ,: ,: ,: 
VBAD,PC,FI,2 ,2 ,1 ,1 ,1 ,2 ,2 
VBAD,PC,FR,10 ,11 ,8 ,8 ,9 ,8 ,9 
VBAD,PC,HR,28 ,27 ,35 ,42 ,31 ,43 ,36 
VBAD,PC,HU,11 ,7 ,8 ,12 ,10 ,13 ,12 
VBAD,PC,IE,7 ,8 ,7 ,7 ,9 ,3 ,4 
VBAD,PC,IT,25 ,19 ,21 ,17 ,17 ,16 ,16 
VBAD,PC,LT,10 ,7 ,7 ,6 ,7 ,8 ,7 
VBAD,PC,LU,2 ,2 ,2 ,2 ,2 ,2 ,3 
VBAD,PC,LV,8 ,7 ,7 ,7 ,8 ,6 ,8 
VBAD,PC,MT,9 ,8 ,9 ,7 ,11 ,9 ,9 
VBAD,PC,NL,3 ,4 ,3 ,4 ,3 ,3 ,4 
VBAD,PC,PL,12 ,11 ,16 ,20 ,24 ,26 ,30 
VBAD,PC,PT,13 ,14 ,11 ,13 ,15 ,9 ,7 
VBAD,PC,RO,15 ,16 ,15 ,17 ,17 ,14 ,15 
VBAD,PC,SE,4 ,6 ,3 ,3 ,4 ,4 ,4 
VBAD,PC,SI,32 ,21 ,22 ,19 ,15 ,17 ,15 
VBAD,PC,SK,25 ,24 ,19 ,24 ,26 ,24 ,22 
VBAD,PC,UK,6 ,5 ,7 ,9 ,9 ,: ,: 
VB_FB,PC,AT,16 ,16 ,9 ,10 ,9 ,9 ,10 
VB_FB,PC,BE,26 ,27 ,23 ,25 ,26 ,24 ,31 
VB_FB,PC,BG,70 ,63 ,57 ,58 ,48 ,56 ,56 
VB_FB,PC,CY,32 ,25 ,30 ,24 ,29 ,37 ,38 
VB_FB,PC,CZ,41 ,40 ,35 ,36 ,32 ,36 ,34 
VB_FB,PC,DE,17 ,16 ,17 ,18 ,15 ,14 ,12 
VB_FB,PC,DK,7 ,7 ,9 ,6 ,8 ,11 ,8 
VB_FB,PC,EE,14 ,14 ,12 ,15 ,14 ,10 ,18 
VB_FB,PC,EL,42 ,36 ,31 ,34 ,35 ,37 ,43 
VB_FB,PC,ES,56 ,58 ,49 ,55 ,49 ,50 ,53 
VB_FB,PC,EU27_2020,38 e,36 e,34 e,35 e,34 e,35 b,35 
VB_FB,PC,EU28,36 ,34 ,32 ,33 ,: ,: ,: 
VB_FB,PC,FI,12 ,13 ,10 ,10 ,8 ,13 ,8 
VB_FB,PC,FR,39 ,37 ,31 ,31 ,31 ,29 ,29 
VB_FB,PC,HR,66 ,62 ,69 ,76 ,68 ,79 ,75 
VB_FB,PC,HU,33 ,28 ,30 ,33 ,34 ,37 ,36 
VB_FB,PC,IE,20 ,19 ,19 ,19 ,21 ,18 ,18 
VB_FB,PC,IT,61 ,57 ,53 ,46 ,54 ,54 ,50 
VB_FB,PC,LT,38 ,32 ,29 ,27 ,33 ,32 ,28 
VB_FB,PC,LU,8 ,9 ,9 ,10 ,9 ,8 ,9 
VB_FB,PC,LV,46 ,43 ,41 ,42 ,39 ,35 ,37 
VB_FB,PC,MT,31 ,31 ,27 ,25 ,31 ,27 ,29 
VB_FB,PC,NL,12 ,12 ,10 ,15 ,10 ,12 ,14 
VB_FB,PC,PL,44 ,37 ,45 ,50 ,55 ,59 ,64 
VB_FB,PC,PT,44 ,44 ,43 ,46 ,49 ,43 ,43 
VB_FB,PC,RO,38 ,35 ,39 ,44 ,45 ,38 ,39 
VB_FB,PC,SE,14 ,18 ,14 ,13 ,12 ,17 ,16 
VB_FB,PC,SI,64 ,51 ,54 ,47 ,46 ,43 ,43 
VB_FB,PC,SK,61 ,59 ,58 ,60 ,64 ,65 ,67 
VB_FB,PC,UK,18 ,16 ,20 ,19 ,21 ,: ,: 
VGOOD,PC,AT,18 ,20 ,23 ,18 ,24 ,21 ,24 
VGOOD,PC,BE,6 ,5 ,9 ,9 ,9 ,9 ,9 
VGOOD,PC,BG,2 ,2 ,3 ,3 ,3 ,2 ,3 
VGOOD,PC,CY,10 ,11 ,9 ,10 ,11 ,7 ,6 
VGOOD,PC,CZ,3 ,5 ,5 ,5 ,6 ,6 ,5 
VGOOD,PC,DE,15 ,19 ,19 ,22 ,21 ,20 ,26 
VGOOD,PC,DK,37 ,40 ,38 ,40 ,41 ,34 ,42 
VGOOD,PC,EE,6 ,5 ,7 ,6 ,9 ,8 ,11 
VGOOD,PC,EL,6 ,8 ,11 ,9 ,6 ,8 ,6 
VGOOD,PC,ES,3 ,3 ,7 ,5 ,8 ,3 ,4 
VGOOD,PC,EU27_2020,8 e,9 e,10 e,10 e,11 e,9 b,11 
VGOOD,PC,EU28,9 ,11 ,11 ,12 ,: ,: ,: 
VGOOD,PC,FI,15 ,19 ,17 ,21 ,23 ,26 ,29 
VGOOD,PC,FR,5 ,3 ,6 ,6 ,5 ,5 ,4 
VGOOD,PC,HR,7 ,8 ,6 ,4 ,7 ,4 ,5 
VGOOD,PC,HU,5 ,5 ,6 ,6 ,6 ,5 ,8 
VGOOD,PC,IE,20 ,23 ,20 ,19 ,25 ,14 ,17 
VGOOD,PC,IT,2 ,2 ,3 ,3 ,5 ,2 ,3 
VGOOD,PC,LT,2 ,3 ,2 ,2 ,3 ,3 ,3 
VGOOD,PC,LU,12 ,15 ,15 ,19 ,13 ,18 ,15 
VGOOD,PC,LV,2 ,3 ,2 ,2 ,2 ,3 ,3 
VGOOD,PC,MT,5 ,8 ,8 ,14 ,12 ,21 ,20 
VGOOD,PC,NL,16 ,25 ,25 ,20 ,27 ,25 ,24 
VGOOD,PC,PL,5 ,5 ,5 ,4 ,5 ,2 ,3 
VGOOD,PC,PT,2 ,2 ,2 ,2 ,1 ,2 ,7 
VGOOD,PC,RO,8 ,7 ,5 ,4 ,4 ,6 ,6 
VGOOD,PC,SE,24 ,21 ,22 ,29 ,29 ,22 ,24 
